共|219
同|389
创|120
造|127
美|225
好|262
的|5159
新|915
世|730
纪|512
二|252
一|1645
年|1245
贺|27
词|22
十|411
月|409
三|322
日|635
附|45
图|145
片|115
张|110
女|63
士|93
们|505
先|121
生|510
志|96
朋|28
友|74
钟|33
声|86
即|56
将|281
敲|12
响|72
人|1396
类|85
社|307
会|869
前|367
进|522
航|32
船|23
就|250
要|583
驶|7
入|290
程|196
中|1325
国|1739
民|905
了|1058
向|240
现|490
代|315
化|373
建|497
设|273
第|349
步|175
战|199
略|53
目|228
标|128
迈|30
征|47
在|1244
这|502
个|671
激|26
动|399
心|253
时|457
刻|44
我|437
很|67
高|404
兴|93
通|219
过|380
际|150
广|154
播|16
电|271
台|114
央|141
和|1277
视|78
全|529
各|323
族|165
香|50
港|52
特|217
别|148
行|647
政|620
区|255
胞|43
澳|40
门|194
湾|44
海|237
外|218
侨|28
界|265
致|66
以|649
祝|69
去|186
是|1002
主|449
义|149
改|239
革|147
开|425
放|150
具|92
有|884
意|174
产|401
党|210
领|221
导|268
下|322
团|142
结|182
奋|51
斗|62
经|611
济|324
继|80
续|97
保|162
持|216
较|47
快|89
发|733
展|472
势|126
头|115
构|76
性|171
调|150
整|89
顺|28
利|212
部|489
署|30
实|442
施|98
西|183
大|1052
取|146
得|279
良|61
端|23
精|103
神|88
文|209
明|228
法|600
制|317
加|385
强|205
几|100
成|489
绩|30
基|223
础|64
上|647
胜|70
完|126
九|69
五|223
计|172
划|87
已|188
面|282
小|217
康|44
阶|51
段|61
对|471
愿|61
望|91
往|66
切|61
果|103
克|141
服|135
困|56
扰|9
着|228
争|138
贫|22
问|175
题|171
推|134
平|315
与|312
崇|7
事|346
业|646
希|57
为|881
享|25
里|215
饱|9
受|153
种|216
冲|26
突|80
苦|30
难|135
至|145
今|160
仍|42
不|813
少|114
家|517
地|594
还|157
忍|7
火|87
煎|3
熬|2
真|81
诚|19
他|318
早|50
安|197
定|372
活|244
热|64
爱|58
自|346
由|169
始|84
终|55
奉|9
独|37
立|210
交|197
策|87
永|20
远|60
站|58
正|269
边|80
道|175
促|54
多|483
极|103
稳|57
公|389
合|277
理|329
治|201
秩|18
序|42
而|249
努|51
力|353
科|150
学|342
技|230
术|176
惊|13
但|139
许|61
尚|14
未|77
摆|17
脱|21
穷|5
饥|3
饿|2
甚|20
连|60
本|435
存|42
条|235
件|198
都|178
备|72
临|66
死|27
亡|16
威|38
胁|16
球|73
飞|42
猛|8
带|92
来|531
应|203
该|91
福|93
于|378
用|326
善|68
度|260
口|98
境|63
遇|54
使|164
坚|110
懈|5
此|162
作|641
出|482
己|86
贡|30
献|53
丰|36
富|62
彩|53
宝|26
贵|27
财|89
相|182
互|40
尊|13
重|355
习|72
历|113
史|83
充|49
分|326
证|80
选|167
择|25
路|124
承|70
吸|25
其|229
华|269
按|77
照|88
并|156
只|96
之|284
间|169
流|91
才|91
能|261
任|365
务|415
祖|97
统|309
维|68
护|75
邓|24
论|95
指|128
移|23
贯|24
彻|33
两|153
方|365
针|41
断|74
色|79
最|260
伟|49
复|78
更|168
信|182
及|184
所|191
关|446
途|11
命|97
运|155
携|6
手|143
居|37
住|53
星|27
够|38
后|309
从|228
北|283
